longitude,latitude,aver_price,latlon
113.26378600000001,23.203595,30.9,"113.26378600000001,23.203595"
113.339197,23.12937,100.0,"113.339197,23.12937"
113.303081,23.223095999999998,72.9,"113.303081,23.223095999999998"
113.563883,23.202898,27.2,"113.563883,23.202898"
113.36805600000001,23.139454,100.0,"113.36805600000001,23.139454"
113.34098700000001,23.304824,42.9,"113.34098700000001,23.304824"
113.278748,23.146307,223.8,"113.278748,23.146307"
113.246251,23.183864,33.9,"113.246251,23.183864"
113.39244199999999,23.128473,68.9,"113.39244199999999,23.128473"
113.381905,23.140151,90.0,"113.381905,23.140151"
113.26266399999999,23.188481,34.3,"113.26266399999999,23.188481"
113.27976299999999,23.245442,27.7,"113.27976299999999,23.245442"
113.413215,23.172647,100.0,"113.413215,23.172647"
113.563883,23.202898,24.8,"113.563883,23.202898"
113.26043100000001,23.200884,31.2,"113.26043100000001,23.200884"
113.33821999999999,23.149721,134.4,"113.33821999999999,23.149721"
113.57791499999999,23.138609,28.2,"113.57791499999999,23.138609"
113.37116599999999,23.146359,131.7,"113.37116599999999,23.146359"
113.26429099999999,23.175341,53.2,"113.26429099999999,23.175341"
113.36805600000001,23.139454,110.3,"113.36805600000001,23.139454"
113.263176,23.187335,57.1,"113.263176,23.187335"
113.304749,23.148035,50.7,"113.304749,23.148035"
113.336697,23.127547,100.0,"113.336697,23.127547"
113.355668,23.123269,160.0,"113.355668,23.123269"
113.28895700000001,23.145120000000002,56.7,"113.28895700000001,23.145120000000002"
113.30215600000001,23.054959,63.3,"113.30215600000001,23.054959"
113.210923,23.151104999999998,36.0,"113.210923,23.151104999999998"
113.37426,23.012654,50.0,"113.37426,23.012654"
113.320213,23.027217999999998,37.7,"113.320213,23.027217999999998"
113.413215,23.172647,100.0,"113.413215,23.172647"
113.327917,22.99111,45.8,"113.327917,22.99111"
113.50799099999999,23.179778,36.4,"113.50799099999999,23.179778"
113.36216399999999,23.09667,28.3,"113.36216399999999,23.09667"
113.29868799999998,23.142576000000002,158.3,"113.29868799999998,23.142576000000002"
113.379576,23.092817,46.9,"113.379576,23.092817"
113.287124,23.130613,54.2,"113.287124,23.130613"
113.28577800000001,23.240607,62.5,"113.28577800000001,23.240607"
113.338076,23.127821,204.5,"113.338076,23.127821"
113.25849299999999,23.18246,45.8,"113.25849299999999,23.18246"
113.29223999999999,23.129691,81.6,"113.29223999999999,23.129691"
113.300348,23.03298,42.3,"113.300348,23.03298"
113.45052199999999,23.102224,29.3,"113.45052199999999,23.102224"
113.32871599999999,23.163618,53.9,"113.32871599999999,23.163618"
113.458395,23.194394,35.9,"113.458395,23.194394"
113.335255,23.125138,92.9,"113.335255,23.125138"
113.355668,23.123269,160.0,"113.355668,23.123269"
113.213652,23.144516,35.2,"113.213652,23.144516"
113.296646,23.127651,76.7,"113.296646,23.127651"
113.331775,23.189029,71.8,"113.331775,23.189029"
113.27303400000001,23.163872,53.4,"113.27303400000001,23.163872"
113.26531399999999,23.179275,43.8,"113.26531399999999,23.179275"
113.276531,23.17364,50.9,"113.276531,23.17364"
113.400453,22.941855,58.8,"113.400453,22.941855"
113.57026100000002,23.137317000000003,25.8,"113.57026100000002,23.137317000000003"
113.35085,23.122646,104.9,"113.35085,23.122646"
113.3717,23.216972,44.9,"113.3717,23.216972"
113.37781000000001,23.141962,32.8,"113.37781000000001,23.141962"
113.43573799999999,23.035467,50.0,"113.43573799999999,23.035467"
113.32736000000001,23.168568,108.0,"113.32736000000001,23.168568"
113.572519,23.138972,31.2,"113.572519,23.138972"
113.48220900000001,22.949707999999998,37.7,"113.48220900000001,22.949707999999998"
113.36473799999999,23.156819,66.2,"113.36473799999999,23.156819"
113.335952,23.109287,61.0,"113.335952,23.109287"
113.268507,23.200905,80.5,"113.268507,23.200905"
113.316313,23.108886,166.7,"113.316313,23.108886"
113.330584,23.022176,52.1,"113.330584,23.022176"
113.25738,23.149193,54.0,"113.25738,23.149193"
113.350246,23.192028,33.3,"113.350246,23.192028"
113.213652,23.144516,39.2,"113.213652,23.144516"
